"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
0,,12,Basel-Stadt,0,0,0,0,0,0,0,0,0,0,7,,,8,Bachletten,0,0,0,0,0,0,0,0,0,0,9,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,1,Altstadt Grossbasel,113,113,179,44,140,46,138,102,97,101,64,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,12,Altstadt Kleinbasel,43,129,47,148,72,120,162,167,94,60,145,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,3,Am Ring,495,388,494,583,542,480,807,514,470,480,549,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,8,Bachletten,223,284,302,450,403,372,396,499,429,361,405,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,30,Bettingen,39,78,14,38,68,29,109,69,0,86,20,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,4,Breite,294,377,533,406,307,472,396,610,463,526,385,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,7,Bruderholz,206,239,250,245,126,142,296,176,311,358,223,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,13,Clara,154,157,162,154,183,174,80,185,260,116,183,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,9,Gotthelf,171,180,249,200,128,245,334,275,319,226,253,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,6,Gundeldingen,1121,1077,1073,1090,1123,1073,1705,1247,992,1067,1125,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,15,Hirzbrunnen,118,108,110,265,394,189,251,195,274,171,340,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,10,Iselin,558,607,712,680,678,754,910,791,570,858,690,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,19,Kleinhüningen,25,72,188,15,96,44,58,171,87,26,124,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,18,Klybeck,282,151,293,325,164,374,299,286,215,253,275,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,17,Matthäus,679,675,520,986,673,869,782,848,831,567,623,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,20,Riehen,337,513,474,587,806,462,490,536,509,433,408,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,16,Rosental,540,261,292,179,442,326,233,278,321,351,514,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,5,St. Alban,325,445,394,401,388,299,382,490,391,438,447,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,11,St. Johann,832,762,792,932,763,884,999,970,941,764,681,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,2,Vorstädte,237,234,150,329,253,191,388,332,311,321,287,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AG,AG,14,Wettstein,284,147,252,193,262,237,172,234,60,264,226,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AI,AI,1,Altstadt Grossbasel,0,0,0,0,0,0,0,0,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AI,AI,12,Altstadt Kleinbasel,0,0,0,13,0,0,0,0,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AI,AI,3,Am Ring,0,12,0,0,13,0,10,11,45,7,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AI,AI,8,Bachletten,0,0,0,0,0,0,0,0,17,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,42535,45014,44498,49627,46875,47438,48983,47833,49429,45184,49846,AI,AI,4,Breite,0,22,26,0,0,0,0,0,0,0,21,1,1
